Company Name,Verticals,Keywords,Company Financing Status,Total Raised,Business Status,Ownership Status,Universe,Employees,Exchange,Ticker,Year Founded,HQ Location,HQ City,HQ State/Province,HQ Country,HQ Global Region,HQ Global Sub Region,# Active Investors,Acquirers,First Financing Date,First Financing Size,First Financing Valuation,First Financing Deal Type,First Financing Deal Type 2,First Financing Deal Class,First Financing Status,Last Financing Date,Last Financing Size,Last Financing Valuation,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Deal Class,Last Updated Date,Last Known Valuation (M),Last Known Valuation Date,Count,First Financing Deal Year,Current Year
Spaceflight Industries,"Industrials, Space Technology, TMT","earthing observation, global communication network, global observation, mission management, ridesharing launch, satellite communication, satellite imaging, satellite imaging services, satellite infrastructure, spacecraft services",Venture Capital-Backed,276.27,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",100,,,1999,"Seattle, WA",Seattle,Washington,United States,Americas,North America,9,,31-Dec-2014,7.50,53.45,Later Stage VC,Series A,Venture Capital,Completed,12-Nov-2019,50.00,,Debt - General,,Debt,27-Jul-2020,750,13-Mar-2018,1,2014,2020
Rocket Lab,"Industrials, Manufacturing, Space Technology, TMT","aviation services, rocket, rocket launcher, rocket propulsion systems, rocket systems, satellite launch, satellite launcher vehicle, space launch, space rocket",Venture Capital-Backed,257.31,Generating Revenue,Privately Held (backing),Venture Capital,600,,,2006,"Long Beach, CA",Long Beach,California,United States,Americas,North America,12,,01-Jan-2006,,,Angel (individual),Angel (individual),Individual,Completed,15-Nov-2018,140.00,"1,415.00",Later Stage VC,Series E,Venture Capital,14-Aug-2020,1415,15-Nov-2018,1,2006,2020
Sierra Nevada,"Industrials, Space Technology","aerial refueling, civil aviation, electronics and technologies, space launch, spacecraft power systems",Private Debt Financed,250,Generating Revenue,Privately Held (backing),Debt Financed,"2,000",,,1963,"Sparks, NV",Sparks,Nevada,United States,Americas,North America,3,,01-Jan-1992,0.78,,Grant,,Other,Completed,26-Jun-2019,250.00,,Debt - General,,Debt,06-Oct-2020,,,1,1992,2020
API Technologies,"Industrials, Manufacturing, Robotics and Drones, Space Technology, TMT","commercial aerospace components, microwave signal conditioning, millimeter wave product, wireless communication device, wireless communication product",Private Equity-Backed,201,Profitable,Privately Held (backing),"Debt Financed, Private Equity, Publicly Listed","1,700",,,1981,"Marlborough, MA",Marlborough,Massachusetts,United States,Americas,North America,2,,24-Jan-2011,,,Reverse Merger,,Corporate,Completed,06-May-2019,,,Buyout/LBO,Secondary Buyout,Private Equity,01-Oct-2020,304.93,22-Apr-2016,1,2011,2020
Spire,"Big Data, Mobility Tech, SaaS, Space Technology","aircraft tracking platform, assets tracking, big data access, big data and analytics, climate change mitigation, maritime awareness, satellite hardware, satellite power data services, satellite surveillance, satellite tracking service, weather forecasting",Venture Capital-Backed,199.87,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",223,,,2012,"San Francisco, CA",San Francisco,California,United States,Americas,North America,77,,14-Jul-2012,0.10,,Angel (individual),Angel (individual),Individual,Completed,12-Apr-2020,,,Debt - PPP,,Debt,23-Oct-2020,345,15-Nov-2017,1,2012,2020
Astroscale,"CleanTech, Industrials, Space Technology","active debris removal, debris removal technology, microsatellite production, on-orbit servicing, satellite service, space debris monitoring, space situational awareness",Venture Capital-Backed,198.7,Generating Revenue,Privately Held (backing),Venture Capital,140,,,2013,"Tokyo, Japan",Tokyo,,Japan,Asia,East Asia,30,,28-Jan-2015,7.70,,Early Stage VC,Series A,Venture Capital,Completed,13-Oct-2020,51.00,,Later Stage VC,Series E,Venture Capital,15-Oct-2020,,,1,2015,2020
Relativity Space,"Advanced Manufacturing, Industrials, Manufacturing, Space Technology","3d print rockets, 3d printing technology, launch vehicle, rocket production, satellite launching systems",Venture Capital-Backed,184.54,Generating Revenue,Privately Held (backing),Venture Capital,200,,,2015,"Long Beach, CA",Long Beach,California,United States,Americas,North America,27,,01-Mar-2016,,,Accelerator/Incubator,,Other,Completed,01-Oct-2019,140.00,430.00,Later Stage VC,Series C,Venture Capital,12-Oct-2020,430,01-Oct-2019,1,2016,2020
UrtheCast,Space Technology,"high definition video, space camera, space imagery, space station photography, space video, video camera, web platform",Corporation,150.56,Generating Revenue/Not Profitable,Publicly Held,"Publicly Listed, Venture Capital",197,PINX,LFDEF,2010,"Vancouver, Canada",Vancouver,British Columbia,Canada,Americas,North America,4,,,,,Accelerator/Incubator,,Other,Completed,28-May-2019,2.00,,Grant,,Other,20-Oct-2020,,,1,,2020
Wyle,"Industrials, Space Technology, TMT","aerospace engineering, nondestructive inspection, tracking system, virtual deficiency analysis",Formerly PE-Backed,131.47,Profitable,Acquired/Merged,"Debt Financed, Private Equity","4,000",,,1949,"Lexington Park, MD",Lexington Park,Maryland,United States,Americas,North America,,KBR,01-Dec-1999,9.63,15.53,Buyout/LBO,Management Buyout,Private Equity,Completed,01-Jul-2016,570.00,570.00,Merger/Acquisition,,Corporate,14-Jul-2020,570,01-Jul-2016,1,1999,2020
Satellogic,"Manufacturing, Space Technology","data-constellation, earthing images, geospatial analytics, geospatial data, geospatial imaging, geospatial insights, planetary insights, satellite analytics, satellite based insights, satellite data, satellite information service, satellite launch",Venture Capital-Backed,128,Generating Revenue,Privately Held (backing),Venture Capital,180,,,2010,"Buenos Aires, Argentina",Buenos Aires,,Argentina,Americas,South America,17,,01-Nov-2013,2.00,,Seed Round,Seed Round,Venture Capital,Completed,19-Dec-2019,50.00,,Later Stage VC,,Venture Capital,28-Oct-2020,,,1,2013,2020
Ispace,"Industrials, Manufacturing, Robotics and Drones, Space Technology","aerospace robotics, aerospace robots, global commercial space, space robotic platform, space robotics",Venture Capital-Backed,122.5,Generating Revenue,Privately Held (backing),Venture Capital,127,,,2010,"Tokyo, Japan",Tokyo,,Japan,Asia,East Asia,15,,16-Feb-2018,94.50,,Later Stage VC,Series A,Venture Capital,Completed,19-Aug-2020,28.00,,Later Stage VC,Series B,Venture Capital,20-Aug-2020,,,1,2018,2020
Precious Payload,Space Technology,"digital space service, satellite guidance platform, satellite launch services, space launch service, test facilities",Venture Capital-Backed,121.2,Generating Revenue,Privately Held (backing),Venture Capital,7,,,2017,"New York, NY",New York,New York,United States,Americas,North America,4,,02-Aug-2019,,,Angel (individual),Angel (individual),Individual,Completed,01-Jan-2020,1.20,4.80,Seed Round,Seed Round,Individual,25-Oct-2020,4.8,01-Jan-2020,1,2019,2020
Astra Aerospace and Defense,Space Technology,"rocket launch system, rocket launch technology, rocket propulsion, space company, space rocket",Venture Capital-Backed,100,Generating Revenue,Privately Held (backing),Venture Capital,783,,,2016,"Alameda, CA",Alameda,California,United States,Americas,North America,8,,01-Jan-2017,,,Early Stage VC,Series A,Venture Capital,Completed,27-Feb-2020,100.00,,Early Stage VC,,Venture Capital,31-Aug-2020,,,1,2017,2020
HawkEye 360,"Big Data, Infrastructure, Space Technology, TMT","aerospace technology, data process technology, geospatial data analysis, logistics data analysis, satellite data, satellite data analytics, satellite data platform, satellite data transmission, space-based radio frequency mapping, transportation monitoring",Formerly VC-backed,100,Generating Revenue,Privately Held (backing),Venture Capital,30,,,2015,"Herndon, VA",Herndon,Virginia,United States,Americas,North America,10,,,3.40,,Angel (individual),Angel (individual),Individual,Completed,24-Sep-2019,65.60,,Secondary Transaction - Private,,,29-Oct-2020,250,06-Aug-2019,1,,2020
Vector Launch,"Space Technology, TMT","aviation & aerospace, microsatellite, nano sats, satellite, satellite launching platform, satellite software, space launch, vector space platform",Formerly VC-backed,94,Out of Business,Out of Business,Venture Capital,150,,,2016,"Tucson, AZ",Tucson,Arizona,United States,Americas,North America,,,,,,Accelerator/Incubator,,Other,Completed,16-Sep-2020,,,Out of Business,,Out of Business,08-Oct-2020,,,1,,2020
Reaction Engines,"Industrials, Space Technology, TMT","aerospace, aerospace engine, aerospace propulsion systems, heat exchanger, precision engineering, rocket engine",Venture Capital-Backed,93.15,Profitable,Privately Held (backing),"M&A, Venture Capital",200,,,1989,"Abingdon, United Kingdom",Abingdon,England,United Kingdom,Europe,Western Europe,6,,19-Oct-2010,4.46,71.73,Later Stage VC,,Venture Capital,Completed,21-Aug-2020,26.05,,Corporate,Corporate,Corporate,26-Aug-2020,254.56,11-Apr-2018,1,2010,2020
HyperSat,"Oil & Gas, Space Technology","microsatellite, micro-scale satellite platform, molecular satellite, nano satellites systems, satellite communication, satellite constellations, satellite platform developer, satellite system",Private Equity-Backed,85,Generating Revenue,Privately Held (backing),Private Equity,,,,2014,"New York, NY",New York,New York,United States,Americas,North America,1,,14-Sep-2018,85.00,,PE Growth/Expansion,,Private Equity,Completed,14-Sep-2018,85.00,,PE Growth/Expansion,,Private Equity,08-Nov-2019,,,1,2018,2020
SolidEnergy,"Manufacturing, Mobility Tech, Space Technology","battery technology, battery technology startup, ev, evtol, haps, lithium battery, lithium metal battery, mobility tech, portable energy storage, solid electrolyte technology",Venture Capital-Backed,81.5,Generating Revenue,Privately Held (backing),Venture Capital,70,,,2012,"Woburn, MA",Woburn,Massachusetts,United States,Americas,North America,12,,01-Jan-2012,0.04,,Grant,,Other,Completed,,,,Later Stage VC,,Venture Capital,15-Sep-2020,215,20-Nov-2018,1,2012,2020
GeoEye,"Industrials, Space Technology, TMT","geospatial, images processing, imaging, satellite imaging",Corporate Backed or Acquired,78,Profitable,Acquired/Merged,"M&A, Private Equity, Publicly Listed",743,,,1991,"Sterling, VA",Sterling,Virginia,United States,Americas,North America,,DigitalGlobe,24-Sep-2010,78.00,,PIPE,,Private Equity,Completed,31-Jan-2013,900.00,900.00,Merger/Acquisition,,Corporate,19-Apr-2020,900,31-Jan-2013,1,2010,2020
SpinLaunch,"Industrials, Space Technology, TMT","aerospace business, aerospace project, aerospace science, launch vehicle, satellite system, satellite system operators",Venture Capital-Backed,77.94,Generating Revenue,Privately Held (backing),Venture Capital,53,,,2014,"Long Beach, CA",Long Beach,California,United States,Americas,North America,15,,05-Mar-2015,2.94,13.47,Seed Round,Series AA,Venture Capital,Completed,08-Jan-2020,35.00,170.00,Later Stage VC,Series A2,Venture Capital,28-Oct-2020,170,08-Jan-2020,1,2015,2020
Capella Space,"Oil & Gas, Space Technology, TMT","cloud analysis, data science company, earthing images, earthing observation, earthing observation data, space data, weather information",Venture Capital-Backed,76.99,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",85,,,2016,"San Francisco, CA",San Francisco,California,United States,Americas,North America,13,,15-May-2016,,,Early Stage VC,,Venture Capital,Completed,28-Apr-2020,,,Debt - PPP,,Debt,06-Oct-2020,154.4,26-Nov-2019,1,2016,2020
Airbus Group,"Manufacturing, Space Technology","aeroplane, commercial aircraft, electric flight, helicopter, military equipment, satellite",Corporation,73.55,Generating Revenue/Not Profitable,Publicly Held,"M&A, Private Equity, Publicly Listed","135,154",PAR,AIR,1969,"Leiden, Netherlands",Leiden,,Netherlands,Europe,Western Europe,13,,04-Jun-1999,,,IPO,,Public Investment,Completed,03-Feb-2016,73.55,,PIPE,,Private Equity,05-Oct-2020,40173.11,09-Apr-2013,1,1999,2020
Descartes Labs,"Artificial Intelligence & Machine Learning, Big Data, Impact Investing, Mobile, Space Technology, TMT","data forecasting, images analysis, images analysis platform, images analysis technology, impact investing vertical, satellite imagery",Venture Capital-Backed,58.37,Generating Revenue,Privately Held (backing),Venture Capital,110,,,2014,"Santa Fe, NM",Santa Fe,New Mexico,United States,Americas,North America,23,,,,,Accelerator/Incubator,,Venture Capital,Completed,04-Oct-2019,20.00,220.00,Early Stage VC,Series B2,Venture Capital,22-Oct-2020,220,04-Oct-2019,1,,2020
Moon Express,"Industrials, Robotics and Drones, Space Technology, TMT","lunar exploration, lunar exploration vehicle, lunar surface, robotics spacecraft, space travel, spacecraft",Venture Capital-Backed,57.5,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",40,,,2010,"Cape Canaveral, FL",Cape Canaveral,Florida,United States,Americas,North America,12,,19-Mar-2013,,,Debt - General,,Debt,Completed,01-Oct-2018,12.50,,Later Stage VC,Series B,Venture Capital,14-Jun-2020,70,13-Jan-2017,1,2013,2020
World View,"Industrials, Space Technology, TMT","commercial launch service, earthing observation, human spaceflight, remote sensing imagery, satellite imagery, space technology company, space tourism, suborbital spaceflight",Venture Capital-Backed,56.13,Generating Revenue,Privately Held (backing),Venture Capital,78,,,2013,"Tucson, AZ",Tucson,Arizona,United States,Americas,North America,12,,01-Oct-2014,7.18,20.18,Early Stage VC,Series A,Venture Capital,Completed,24-Sep-2019,7.45,,Later Stage VC,,Venture Capital,01-Oct-2020,100,29-Mar-2018,1,2014,2020
Arralis,"Industrials, Space Technology, TMT","radar technology, satellite communication, satellite communication device, semiconductor chips, wave technology",Venture Capital-Backed,55.09,Profitable,Privately Held (backing),Venture Capital,33,,,2013,"Swindon, United Kingdom",Swindon,England,United Kingdom,Europe,Western Europe,6,,18-Dec-2014,1.61,,Early Stage VC,,Venture Capital,Completed,30-Mar-2017,53.47,,Early Stage VC,,Venture Capital,06-Jul-2020,,,1,2014,2020
Peraton,"Space Technology, TMT","communications, deep space network, defense service, engineering, information technology divisions, information technology service, space communication",Private Equity-Backed,53.58,Generating Revenue,Privately Held (backing),"Debt Financed, Private Equity","3,500",,,2017,"Herndon, VA",Herndon,Virginia,United States,Americas,North America,1,,28-Apr-2017,690.00,690.00,Buyout/LBO,Corporate Divestiture,Private Equity,Completed,30-Sep-2019,1.32,,Debt - General,,Debt,13-Oct-2020,690,28-Apr-2017,1,2017,2020
Orbital Sciences,"Industrials, Infrastructure, Manufacturing, Robotics and Drones, Space Technology, TMT","aviation systems, defense systems, launch vehicle, space systems",Corporate Backed or Acquired,52,Profitable,Acquired/Merged,"M&A, Private Equity, Publicly Listed","3,300",,,1982,"Sterling, VA",Sterling,Virginia,United States,Americas,North America,,Orbital ATK,24-Apr-1990,,,IPO,,Public Investment,Completed,09-Feb-2015,,,Merger/Acquisition,,Corporate,19-Apr-2020,,,1,1990,2020
Vertex Aerospace,Space Technology,"multi layer insulation solutions, spacecraft systems engineering, thermal analysis tool, thermal system engineering, thermal vacuum",Private Debt Financed,51.69,Generating Revenue,Privately Held (backing),Debt Financed,,,,,"Garsonville, MD",Garsonville,Maryland,United States,Americas,North America,,,29-Jun-2018,381.69,,Debt - General,,Debt,Completed,29-Jun-2018,381.69,,Debt - General,,Debt,27-Jul-2019,,,1,2018,2020
ABL Space Systems,"Manufacturing, Space Technology","rocket builder, rocket design, rocket development, rocket launch system, satellite launcher, satellite launching systems, satellite launching vehicle, satellite vehicles",Venture Capital-Backed,49.24,Generating Revenue,Privately Held (backing),Venture Capital,79,,,2017,"El Segundo, CA",El Segundo,California,United States,Americas,North America,5,,22-Jul-2019,,,Early Stage VC,,Venture Capital,Completed,31-Mar-2020,49.24,,Early Stage VC,Series A,Venture Capital,28-Oct-2020,,,1,2019,2020
Terran Orbital,"Industrials, Manufacturing, Space Technology, TMT","aerospace services, launch services, nanosatellites, satellite, space aviation",Venture Capital-Backed,44.5,Generating Revenue,Privately Held (backing),Venture Capital,100,,,2013,"Irvine, CA",Irvine,California,United States,Americas,North America,6,,04-Dec-2017,8.50,60.50,Early Stage VC,Series A,Venture Capital,Completed,06-Aug-2018,36.00,,Early Stage VC,Series B,Venture Capital,06-Oct-2020,60.5,04-Dec-2017,1,2017,2020
AST&Science,"Industrials, Manufacturing, Space Technology, TMT","aerospace, launch time, miniature satellite, satellite, space technologies",Corporate Backed or Acquired,41,Generating Revenue,Privately Held (backing),"M&A, Venture Capital",,,,2017,"Midland, TX",Midland,Texas,United States,Americas,North America,5,,05-Jul-2018,,,Corporate,Corporate,Corporate,Completed,03-Mar-2020,110.00,,Corporate,Series B,Corporate,28-May-2020,,,1,2018,2020
Aerojet Rocketdyne Holdings,"Industrials, Manufacturing, Space Technology, TMT","aerospace product, military product, propulsion systems, structural components building",Corporation,39.5,Profitable,Publicly Held,"Debt Financed, Publicly Listed","4,814",NYS,AJRD,1915,"El Segundo, CA",El Segundo,California,United States,Americas,North America,,,31-Mar-1978,,,IPO,,Public Investment,Completed,30-Jun-2014,39.50,,Debt - General,,Debt,28-Oct-2020,,,1,1978,2020
Satelles,"Industrials, Internet of Things, Space Technology, TMT","global time technology, satellite based technology, satellite networking, satellite signal, secure gps backup",Venture Capital-Backed,38.63,Generating Revenue,Privately Held (backing),Venture Capital,40,,,2008,"Reston, VA",Reston,Virginia,United States,Americas,North America,5,,04-Mar-2009,0.35,0.85,Early Stage VC,Series A,Venture Capital,Completed,09-Oct-2019,26.00,90.00,Later Stage VC,Series C,Venture Capital,14-Sep-2020,90,09-Oct-2019,1,2009,2020
Momentus,Space Technology,"orbital flight, orbital spaceflight, plasma propulsion engine, propulsion systems, technological system developer",Venture Capital-Backed,34.04,Generating Revenue,Privately Held (backing),"Debt Financed, M&A, Venture Capital",60,,,2017,"Santa Clara, CA",Santa Clara,California,United States,Americas,North America,16,,28-Aug-2018,0.12,1.71,Accelerator/Incubator,,Other,Completed,,,"1,000.00",Reverse Merger,,Corporate,23-Oct-2020,1.71,28-Aug-2018,1,2018,2020
Universal Space Network,"Industrials, Space Technology, TMT","communication, ground control, network, satellite, space, spacecraft, telemetry, tracking",Formerly PE-Backed,33.46,Generating Revenue,Acquired/Merged,"Private Equity, Venture Capital",55,,,1996,"Newport Beach, CA",Newport Beach,California,United States,Americas,North America,,,01-Jan-1999,15.00,,PE Growth/Expansion,,Private Equity,Completed,01-May-2009,42.70,42.70,Merger/Acquisition,,Corporate,19-Apr-2020,42.7,01-May-2009,1,1999,2020
Ursa Space Systems,"Big Data, SaaS, Space Technology, TMT","crude oil storage, data analysis service platform, geospatial intelligence product, on demand-intel reporting, quantitative data, satellite based data, stockpile measurement, trend forecasting, trend forecasting technology, wells monitoring technology",Venture Capital-Backed,32.89,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",48,,,2014,"Ithaca, NY",Ithaca,New York,United States,Americas,North America,11,,01-Jan-2015,,,Accelerator/Incubator,,Other,Completed,28-Apr-2020,,,Debt - PPP,,Debt,26-Aug-2020,25.7,19-Jul-2018,1,2015,2020
Dauria Aerospace,"Industrials, Internet of Things, Manufacturing, Space Technology, TMT","earthing observation technology, global satellite, micro technology, nanosatellites, resource management technology, water control system, wireless communication",Venture Capital-Backed,31.1,Generating Revenue,Privately Held (backing),Venture Capital,23,,,2010,"Moscow, Russia",Moscow,,Russia,Europe,Eastern Europe,5,,01-Jan-2012,10.00,,Angel (individual),Angel (individual),Individual,Completed,12-Oct-2015,70.00,,Early Stage VC,,Venture Capital,05-Aug-2020,,,1,2012,2020
CesiumAstro,"Robotics and Drones, Space Technology, TMT","antenna payloads, communication processor, communication system, satellite communication, spcae communication system, transceivers",Venture Capital-Backed,28.19,Generating Revenue,Privately Held (backing),Venture Capital,47,,,2017,"Austin, TX",Austin,Texas,United States,Americas,North America,7,,17-May-2017,1.75,,Seed Round,Seed Round,Individual,Completed,22-Oct-2020,14.00,,Early Stage VC,,Venture Capital,23-Oct-2020,,,1,2017,2020
Astrotech,"Industrials, Space Technology, TMT","science and technology, space industry, space shuttles",Corporation,28.04,Generating Revenue/Not Profitable,Publicly Held,Publicly Listed,20,NAS,ASTC,1984,"Austin, TX",Austin,Texas,United States,Americas,North America,,,21-Dec-1995,,,IPO,,Public Investment,Completed,22-Oct-2020,18.00,,Public Investment 2nd Offering,,Public Investment,23-Oct-2020,,,1,1995,2020
Remote Sensing Metrics,"Artificial Intelligence & Machine Learning, Big Data, Space Technology, TMT","computer vision based intelligence, data provider, event-based traffic analysis, index provider, information services, satellite imagery, satellite imagery platform, satellite imagery services",Venture Capital-Backed,28,Generating Revenue,Privately Held (backing),Venture Capital,52,,,2009,"Stamford, CT",Stamford,Connecticut,United States,Americas,North America,7,,03-Jan-2013,5.00,,Seed Round,Seed Round,Venture Capital,Completed,14-Oct-2019,25.00,,Early Stage VC,,Venture Capital,31-Aug-2020,,,1,2013,2020
Swarm Aerospace and Defense,"Internet of Things, Manufacturing, Space Technology","communication satellite network, communication satellite provider, communication technology, satellite network operator, satellite system",Venture Capital-Backed,27.5,Generating Revenue,Privately Held (backing),Venture Capital,11,,,2016,"Los Altos, CA",Los Altos,California,United States,Americas,North America,8,,01-Oct-2016,2.50,8.00,Seed Round,Seed Round,Venture Capital,Completed,24-Jan-2019,25.00,85.00,Early Stage VC,Series A,Venture Capital,23-Oct-2020,85,24-Jan-2019,1,2016,2020
Ursa Major Technologies,"Industrials, Manufacturing, Space Technology","boost propulsion, microsatellite, propulsion engine, propulsion systems, turnkey propulsion services",Venture Capital-Backed,26.29,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",65,,,2015,"Berthoud, CO",Berthoud,Colorado,United States,Americas,North America,8,,23-Jun-2017,2.80,16.00,Seed Round,Seed Round,Venture Capital,Completed,28-Apr-2020,,,Debt - PPP,,Debt,22-Sep-2020,65.47,18-Jun-2019,1,2017,2020
D-Orbit,"CleanTech, Industrials, Robotics and Drones, Space Technology","artificial satellite, disposal device, nanosat manufacturing, re-orbiting, space debris, space product",Venture Capital-Backed,26.23,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",80,,,2011,"Como, Italy",Como,,Italy,Europe,Southern Europe,24,,07-Mar-2011,0.41,0.96,Seed Round,Seed Round,Venture Capital,Completed,27-Oct-2020,17.65,,Later Stage VC,,Venture Capital,28-Oct-2020,1.5,27-Jul-2012,1,2011,2020
The Golden Spike Company,"Space Technology, TMT","expedition, landing, transportation",Angel-Backed,25.15,Startup,Privately Held (backing),Pre-venture,6,,,2010,"Boulder, CO",Boulder,Colorado,United States,Americas,North America,4,,28-Oct-2014,0.15,,Angel (individual),Angel (individual),Individual,Completed,01-Jan-2015,25.00,,Seed Round,Seed Round,Individual,29-Jun-2020,,,1,2014,2020
